ID,Product Name,Price
284,TATLI KURABİYE 250 GR,"78,00 TL"
285,FİLİZ ÇAY 1000GR,"235,00 TL"
286,ÖZEL TİREBOLU ÇAYI 500GR,"129,25 TL"
287,ÖZEL TİREBOLU ÇAYI 1000G,"254,00 TL"
288,YEŞİLAĞAÇ SADE ERİŞTE 1000 GR,"144,00 TL"
289,YEŞİLAĞAÇ KOOP. SEBZELİ ERİŞTE 500 GR,"83,00 TL"
290,KEYİF ÇAY 1000GR,"221,00 TL"
291,KEYİF ÇAY 500GR,"113,00 TL"
292,EXPORT ÇAY 1000GR,"246,00 TL"
293,GRİSİNİ SUSAMLI 175 GR,"35,00 TL"
294,GRİSİNİ SADE 175 GR,"32,00 TL"
295,EXPORT ÇAY 500GR,"125,00 TL"
296,FİLİZ ÇAY 500GR,"119,50 TL"
297,ÇEREZ YERFISTIĞI AROMALI 30 GR,"16,00 TL"
298,GLUTENSİZ SİMİT 100 GR,"27,00 TL"
299,YEŞİLAĞAÇ KOOP. TARHANA 500 GR,"83,00 TL"
300,KINALIELLER KOOP. EV ERİŞTE 500 GR,"69,50 TL"
301,BALA KOOP. YEŞİL MERCİMEK UNU 500 GR,"69,50 TL"
302,GLÜTENSİZ CEVİZLİ BAKLAVA 300 GR,"215,00 TL"
303,ORGANİK TAM BUĞDAY EKMEĞİ 500 GR,"59,50 TL"
304,A.BACILARI PANCARLI HAVUÇ SİRKESİ 750 GR,"99,00 TL"
305,AKANA KOOP. ŞEFTALİ MARMELATI 430 GR,"114,00 TL"
306,AKANA KOOP. OKALİPTUS MACUNU 230 GR,"125,00 TL"
307,ZINDE KOOP. KAKAOLU FINDIK EZMESI 330GR,"189,00 TL"
