product_name,price (TL)
Dardanel Somon Marine 80 g,255.0
Leroy Somon Füme 100 g,324.0
Carrefour Ahtapot Salatası 200 Gr,225.0
Carrefour Biber Soslu Hamsi Marine 200 Gr,110.0
Carrefour Füme Uskumru Çiroz Salatası 200 Gr,129.0
Carrefour Karides Söğüş 200 Gr,169.0
Carrefour Sade Hamsi Marine 200 g,110.0
Carrefour Sarımsak Soslu Hamsi Marine 200 Gr,110.0
Carrefour Marine Deniz Ürünleri Salatası 200 Gr,225.0
Balık Dünyası Karides Söğüş 300 Gr,299.0
Marine İsli Midye 200 Gr,349.0
Kocaman Karadeniz Somon Füme 100 g,214.0
Levrek 800-1000 g,649.0
Dardanel Sushi Philadelphia Roll 205 g,309.0
Bütün Türk Somonu kg,349.0
Baharatlı Somon Füme 100 g,279.0
Kocaman Hamsi Sade Naturel Fileto Marine 1000 g,699.0
Kocaman Uskumru Çiroz Marine 1000 g,149.99
Kocaman Sardalya Ançüez Kurutulmuş Domatesli Marine 90 Gr,379.0
Kocaman Hamsi Kırmızı Biber Soslu Fileto Marine 1000g,699.0
Kocaman Sardalya Ançüez Sade Marine 180 Gr,429.0
Kocaman Salyangoz Tereyağlı Donuk 120 gr,209.0
Kaya Levreği 1000-1500 g,399.0
Marines Sade Hamsi,289.99
Sensoy Suşi Yosunu Sushi Yaki Nori Gold 10 Yaprak,101.5
